"county","state","msa","pmsa","pop.density","pop","pop.change","age6574","age75","crime","college","income","farm","democrat","republican","white","black","turnout","pdensity"
"Autauga","AL",5240,NA,61,34222,11.8999996,5.69999981,4.0999999,4996,14.5,32240,1.79999995,30.8999996,55.9000015,79.3173981,20.0017529,45.5408783,1.79239168949825
"Baldwin","AL",5160,NA,67,98280,35.4000015,9.19999981,6,3329,16.7999992,30199,1.70000005,26.2000008,56.5,86.0449753,12.8612127,47.2893791,1.83250891270624
"Barbour","AL",NA,NA,29,25417,2,8.19999981,6.4000001,3192,11.8000002,23838,2.4000001,46.4000015,42.9000015,55.5455017,44.0413895,41.039463,1.47712125471966
"Bibb","AL",NA,NA,28,16576,9.19999981,6.69999981,6,0,4.69999981,23714,0.899999976,43.2000008,46.5,78.7403488,20.9821434,40.5405388,1.46239799789896
"Blount","AL",1000,NA,62,39248,10.6000004,7.4000001,5.5999999,2052,7,26323,4.69999981,32.9000015,53.7999992,97.8317337,1.32745612,42.0530968,1.79934054945358
"Bullock","AL",NA,NA,18,11042,3.70000005,8.5,7.5999999,3630,10,17796,2.5999999,67.6999969,26,27.4950199,72.3238525,43.6152878,1.27875360095283
"Butler","AL",NA,NA,28,21892,0.100000001,8.80000019,8,3530,8,21499,3.5,47.4000015,41.2000008,59.6062508,40.1881981,38.7264748,1.46239799789896
"Calhoun","AL",450,NA,191,116034,-2.79999995,7.4000001,5,4174,14.1999998,28340,0.699999988,38.4000015,48.2000008,80.0394745,18.5962734,36.8857422,2.28330122870355
"Chambers","AL",NA,NA,62,36876,-6,9.19999981,7.69999981,3173,8.89999962,26331,1.20000005,45.4000015,43.4000015,63.9304695,35.8525887,35.5000534,1.79934054945358
"Cherokee","AL",NA,NA,36,19543,5.9000001,8.89999962,5.80000019,3223,6.69999981,24932,3.9000001,53.5999985,34.9000015,92.8925934,6.60594606,40.3008766,1.56820172406699
"Chilton","AL",NA,NA,48,32458,8.5,7.80000019,6.0999999,3367,7.5,26203,3,34.2000008,56.2000008,88.2586746,11.3192434,44.5745277,1.69019608002851
"Choctaw","AL",NA,NA,18,16018,-4.19999981,7.5,6.4000001,419,8.5,23609,3.4000001,52.0999985,40.5999985,55.6436501,44.1815453,47.1969032,1.27875360095283
"Clarke","AL",NA,NA,22,27240,0.100000001,7.0999999,6,3828,10.8000002,23080,1.70000005,42.9000015,46.9000015,57.0007324,42.6762123,43.0139503,1.36172783601759
"Clay","AL",NA,NA,22,13252,-2.70000005,8.60000038,8.30000019,298,7.30000019,24145,4.19999981,36,49.7000008,83.3383636,16.3447018,43.4274063,1.36172783601759
"Cleburne","AL",NA,NA,23,12730,3.0999999,7.69999981,5.69999981,1623,6.5,25900,4.69999981,40.9000015,46.2999992,94.9253769,4.61115456,41.1390419,1.38021124171161
"Coffee","AL",NA,NA,61,40240,6.80000019,7.5999999,5.5999999,2582,16.5,27653,3.5,37.2000008,48.9000015,81.267395,17.1893635,38.6008949,1.79239168949825
"Colbert","AL",2650,NA,88,51666,-3.79999995,9,5.69999981,3441,11.5,27862,1.39999998,54.4000015,36,82.8784866,16.5834389,43.4308815,1.94939000664491
